site_id,sheet,collected,현재count하한
accc-gov-au-search,호주완료,454,513
acpr-banque-france-fr-fr,French Public Institutions,225,233
adruk-org-news-publications,영국완료,210,106
afd-fr-fr,French Public Institutions,797,42
afp-gov-au-news-centre,호주완료,432,1336
afp-gov-au-search,호주완료,49,1
africamuseum-be-en,벨기에완료,52,52
agri-ee-ministeerium-uudised,Estonia Ministries,122,8
agriculture-gouv-fr-recherche-developpem,France Ministries,472,134
alrc-gov-au-publications,호주완료,116,40
ameslab-gov-news,American Research Institutes,394,396
amf-france-org-fr,French Public Institutions,157,201
ami-swiss-en,Switzerland Research Centers,558,583
amolf-nl-publications,Dutch Research Centers,512,811
andra-fr-publications,French Research Institutes,1,0
anses-fr-fr,French Research Institutes,6091,0
ansto-gov-au-search,호주완료,30,27
app-mps-gov-cn-gdnps,중국 완료,501,1933
arcep-fr-actualites,French Public Institutions,34,0
arcnl-nl-publications,Dutch Research Centers,11,11
arn-se-om-arn,스웨덴 완료,80,12
artsetmetiers-fr-fr,French Public Universities,222,223
asiapacific-ca-media,Canadian Research Centers,50,52
asn-fr-information,French Public Institutions,19,19
astro-oma-be-en,벨기에완료,22,0
astron-nl-about,Dutch Research Centers,57,0
audencia-com-lecole,French Public Universities,246,243
auri-re-kr-boardes,한국완료,260,267
auri-re-kr-publication,한국완료,593,559
auswaertiges-amt-de-de,Germany Ministries,224,226
auswaertiges-amt-de-en,독일완료,526,782
babraham-ac-uk-news,영국완료,483,483
bam-de-navigation,GER ResearchCenters(Unfinished),308,0
bankofcanada-ca-publications,Canadian Research Centers,27,27
banque-france-fr-en,French Public Institutions,530,30
baw-de-en,GER ResearchCenters(Unfinished),14,0
bdap-opendata-rgs-mef-gov-it-catalog,Italy Ministries,360,898
benthamscience-com-press-release,Switzerland Research Centers,191,193
bfe-admin-ch-bfe,Switzerland Departments,1002,1951
bfr-bund-de-en,GER ResearchCenters(Unfinished),23,1
biblio-naturalsciences-be-rbins-publications,벨기에완료,500,750
biorbic-com-publications,Irish Research Centers,497,467
bj-admin-ch-bj,Switzerland Departments,41,0
bmas-de-de,Germany Ministries,454,330
bmds-bund-de-aktuelles,Germany Ministries,79,84
bmf-gv-at-ministerium,오스트리아완료,36,3
bmftr-bund-de-siteglobals,독일완료,197,179
bmi-gv-at-114,오스트리아완료,76,42
bmimi-gv-at-themen,오스트리아완료,18,18
bmj-gv-at-ministerium,오스트리아완료,149,151
bmleh-de-en,독일완료,26,16
bmleh-de-siteglobals,독일완료,200,233
bmluk-gv-at-service,오스트리아완료,315,272
bmlv-gv-at-wissen-forschung,오스트리아완료,18,18
bmvg-de-en,Germany Ministries,20,20
bmwet-gv-at-services,오스트리아완료,89,87
bmwkms-gv-at-themen,오스트리아완료,41,17
bmwsb-bund-de-de,독일완료,20,20
bmz-de-de,Germany Ministries,6,6
bnf-fr-fr,French Public Institutions,488,488
bok-or-kr-portal,한국완료,430,2080
bordbia-ie-about,Irish Research Centers,20,0
boverket-se-en,스웨덴 완료,9,9
brgm-fr-fr,French Research Institutes,234,241
brsn-net-list,중국 완료,500,999
budget-canada-ca-home-accueil-enhtml,Canada Ministries,17,17
bundesgesundheitsministerium-de-service,독일완료,229,261
bundeskanzleramt-gv-at-bundeskanzleramt,오스트리아완료,480,447
bundesumweltministerium-de-en,Germany Ministries,7,7
busan-go-kr-nbtnewsbu,한국완료,537,1043
business-sweden-com-about-us,스웨덴 완료,94,94
