site_id,sheet,collected,counted,status
oig-treasury-gov-other-reports-testim,USA Executive Departments,1353,1354,exact_done
book-ioj-go-kr-library,한국완료,500,998,exact_done
kepco-co-kr-home,한국완료,400,492,exact_done
biorbic-com-publications,Irish Research Centers,497,467,exact_done
skillsdevelopmentscotland-co-uk-publications-statist,영국완료,488,487,exact_done
bnf-fr-fr,French Public Institutions,488,488,exact_done
defence-govt-nz-publications,뉴질랜드완료,431,434,exact_done
kinu-or-kr-main,한국완료,432,434,exact_done
ameslab-gov-news,American Research Institutes,394,396,exact_done
bmluk-gv-at-service,오스트리아완료,315,272,exact_done
en-nim-ac-cn-taxonomy,중국 완료,303,303,exact_done
sm-dk-publikationer,덴마크완료,354,354,exact_done
ons-gov-uk-search,영국완료,516,333,exact_done
doi-gov-bpp,USA Executive Departments,204,204,exact_done
nordlandsforskning-no-en,Norway Research Centers,304,396,exact_done
lib-cssn-cn-zy,중국 완료,204,204,exact_done
benthamscience-com-press-release,Switzerland Research Centers,191,193,exact_done
nhlbi-nih-gov-resources,American Research Institutes,325,271,exact_done
regulation-govt-nz-about-us,뉴질랜드완료,247,312,exact_done
krihs-re-kr-krihslibraryreport,한국완료,168,150,exact_done
issibern-ch-outreach,Switzerland Research Centers,157,159,exact_done
onera-fr-fr,French Research Institutes,145,148,exact_done
kommunikasjon-ntb-no-presserom,Norway Research Centers,116,116,exact_done
ncha-gov-cn-col,중국 완료,117,117,exact_done
didaktorika-gr-eadd,Greece Research Centers,118,118,exact_done
health-ni-gov-uk-news,영국완료,137,100,exact_done
nrc-re-kr-boardes,한국완료,470,237,exact_done
icp-fr-a-propos-de-licp,French Public Institutions,99,99,exact_done
ifau-se-forskning,스웨덴 완료,101,106,exact_done
niddk-nih-gov-news,American Research Institutes,124,99,exact_done
cac-gov-cn-hdfw,중국 완료,89,91,exact_done
wallonie-be-fr,벨기에완료,121,124,exact_done
ustat-mur-gov-it,Italy Ministries,92,94,exact_done
fi-se-en,스웨덴 완료,122,95,exact_done
nps-or-kr-inforls,한국완료,115,0,exact_done
unidata-gv-at-pages,오스트리아완료,404,0,exact_done
ncri-ie-en,Irish Research Centers,104,104,exact_done
klimaraadet-dk-da,덴마크완료,84,84,exact_done
sib-swiss-training,Switzerland Research Centers,74,67,exact_done
ninds-nih-gov-publications,American Research Institutes,71,70,exact_done
publicservice-govt-nz-data,뉴질랜드완료,61,61,exact_done
ungeneva-org-en,Switzerland Research Centers,93,91,exact_done
cae-eco-fr-presse-cae-0,French Public Institutions,64,64,exact_done
hatvp-fr-actualites-et-public,French Public Institutions,57,57,exact_done
nia-nih-gov-news,American Research Institutes,95,59,exact_done
xxgk-mot-gov-cn-2020,중국 완료,456,460,exact_done
directives-doe-gov-guidance,USA Executive Departments,260,51,exact_done
noc-ac-uk-publications,영국완료,234,25,exact_done
cstb-fr-communiques-de-press,French Research Institutes,48,48,exact_done
alrc-gov-au-publications,호주완료,116,40,exact_done
opendata-centralbank-ie-dataset,Irish Research Centers,38,39,exact_done
africamuseum-be-en,벨기에완료,52,52,exact_done
presse-cnam-fr-communiques,French Public Institutions,36,38,exact_done
nim-ac-cn-taxonomy,중국 완료,34,34,exact_done
rcaanc-cirnac-gc-ca-eng,Canada Ministries,33,33,exact_done
oka-go-kr-web,한국완료,30,30,exact_done
swisspeace-ch-publications,Switzerland Research Centers,304,305,exact_done
ansto-gov-au-search,호주완료,30,26,exact_done
justitsministeriet-dk-forskning,덴마크완료,24,24,exact_done
seer-cancer-gov-report_to_nation,American Research Institutes,24,24,exact_done
hud-govt-nz-documents,뉴질랜드완료,148,47,exact_done
um-dk-om-os,덴마크완료,24,24,exact_done
vbs-admin-ch-en,Switzerland Departments,111,50,exact_done
meri-belspo-be-site,벨기에완료,21,21,exact_done
mohrss-gov-cn-xxgk2020,중국 완료,19,19,exact_done
reseau-canope-fr-espace-presse,French Public Institutions,19,19,exact_done
iucn-org-about-iucn,Switzerland Research Centers,19,19,exact_done
mwr-gov-cn-zwgk,중국 완료,18,18,exact_done
www2-mrc-lmb-cam-ac-uk-research,영국완료,47,16,exact_done
vtg-admin-ch-en,Switzerland Departments,18,18,exact_done
nbb-be-en,벨기에완료,15,15,exact_done
women-govt-nz-library,뉴질랜드완료,14,14,exact_done
nimhd-nih-gov-news-events,American Research Institutes,13,13,exact_done
eng-mod-gov-cn-2025xb,중국 완료,10,10,exact_done
nnsa-mee-gov-cn-english,중국 완료,10,10,exact_done
kicce-re-kr-main,한국완료,368,9,exact_done
mof-gov-cn-en,중국 완료,9,9,exact_done
casseng-cssn-cn-sky_research,중국 완료,8,8,exact_done
ptb-de-cms,GER ResearchCenters(Unfinished),8,8,exact_done
nesc-ie-publications,Irish Research Centers,121,121,exact_done
ncats-nih-gov-news-events,American Research Institutes,19,6,exact_done
andra-fr-publications,French Research Institutes,1,0,exact_done
science-libraries-canada-ca-eng,Canadian Research Centers,31,31,exact_done
bam-de-navigation,GER ResearchCenters(Unfinished),308,0,exact_done
baw-de-en,GER ResearchCenters(Unfinished),14,0,exact_done
bordbia-ie-about,Irish Research Centers,20,0,exact_done
emsl-pnnl-gov-science,American Research Institutes,6,6,exact_done
cells-es-en,Spanish Research Centers,11,0,exact_done
cso-ie-en,Irish Research Centers,388,0,exact_done
astron-nl-about,Dutch Research Centers,57,0,exact_done
en-iwhr-cn-iwhr-english-new,중국 완료,458,0,exact_done
consult-environment-govt-nz-climate,뉴질랜드완료,72,72,exact_done
astro-oma-be-en,벨기에완료,22,0,exact_done
environment-govt-nz-what-you-can-do,뉴질랜드완료,58,0,exact_done
eprints-soton-ac-uk-view,영국완료,259,0,exact_done
ethniccommunities-govt-nz-resources,뉴질랜드완료,85,0,exact_done
gsi-ie-en-ie,Irish Research Centers,113,0,exact_done
data-biodiversity-be-dataset,벨기에완료,524,0,exact_done
iwhr-com-zgskywwnew,중국 완료,62,0,exact_done
consult-environment-govt-nz-waste,뉴질랜드완료,58,60,exact_done
english-mee-gov-cn-resources,중국 완료,20,0,exact_done
minscfa-gov-gr-grafeio-typou,Greece Ministries,626,0,exact_done
mpi-govt-nz-about-mpi,뉴질랜드완료,14,0,exact_done
mpi-govt-nz-resources-and-forms,뉴질랜드완료,35,0,exact_done
nidcd-nih-gov-news,American Research Institutes,203,5,exact_done
opendatacommunities-org-data,영국완료,3,0,exact_done
pbocri-org-cn-lnzy3html,중국 완료,8,0,exact_done
pmc-gov-au-resources,호주완료,129,0,exact_done
nupi-no-en,Norway Research Centers,28,0,exact_done
safefood-net-news,Irish Research Centers,31,0,exact_done
cerema-fr-fr,French Research Institutes,231,240,exact_done
transparency-gov-au-publications,호주완료,2694,0,exact_done
transportation-gov-newsroom,USA Executive Departments,205,0,exact_done
transport-govt-nz-documents-and-public,뉴질랜드완료,3,0,exact_done
homeaffairs-gov-au-sitesearch,호주완료,1308,1912,lowerbound_need2h
presse-economie-gouv-fr,France Ministries,1206,1881,lowerbound_need2h
ypes-gr-category,Greece Ministries,987,1785,lowerbound_need2h
sejong-go-kr-bbs,한국완료,500,1241,lowerbound_need2h
gnews-gg-go-kr-briefing,한국완료,500,1216,lowerbound_need2h
scourt-go-kr-portal,한국완료,982,1177,lowerbound_need2h
minrel-gob-cl-minrel,Chile Ministries,4547,1154,lowerbound_need2h
justice-gov-news,USA Executive Departments,741,1035,lowerbound_need2h
policyalternatives-ca-news-research,Canadian Research Centers,1543,1026,lowerbound_need2h
bok-or-kr-portal,한국완료,430,995,lowerbound_need2h
caissedesdepots-fr-communiques-de-press,French Public Institutions,1201,951,lowerbound_need2h
stepi-re-kr-site,한국완료,570,941,lowerbound_need2h
moef-go-kr-nw,한국완료,683,935,lowerbound_need2h
mpva-go-kr-mpva,한국완료,590,902,lowerbound_need2h
kmcc-go-kr-userdo,한국완료,666,881,lowerbound_need2h
gri-re-kr-web,한국완료,516,845,lowerbound_need2h
mss-go-kr-site,한국완료,500,832,lowerbound_need2h
civilprotection-gov-gr-deltia-tupou,Greece Ministries,500,825,lowerbound_need2h
rda-go-kr-board,한국완료,1020,792,lowerbound_need2h
ir-cwi-nl,Dutch Research Centers,592,786,lowerbound_need2h
ftc-go-kr-www,한국완료,694,781,lowerbound_need2h
ir-arcnl-nl,Dutch Research Centers,452,770,lowerbound_need2h
police-go-kr-user,한국완료,747,768,lowerbound_need2h
daejeon-go-kr-drh,한국완료,473,720,lowerbound_need2h
motir-go-kr-kor,한국완료,703,697,lowerbound_need2h
chungnam-go-kr-cnportal,한국완료,425,682,lowerbound_need2h
pubs-usgs-gov,American Research Institutes,10,658,lowerbound_need2h
kdca-go-kr-kdca,한국완료,846,648,lowerbound_need2h
rigsrevisionen-dk-revisionssager,덴마크완료,590,648,lowerbound_need2h
digital-gob-es-comunicacion,Spain Ministries,416,637,lowerbound_need2h
app-mps-gov-cn-gdnps,중국 완료,501,628,lowerbound_need2h
mohw-go-kr-boardes,한국완료,920,628,lowerbound_need2h
busan-go-kr-nbtnewsbu,한국완료,537,622,lowerbound_need2h
mod-mil-gr-category,Greece Ministries,470,594,lowerbound_need2h
nypi-re-kr,한국완료,3,589,lowerbound_need2h
treasury-gov-au-publication,호주완료,651,589,lowerbound_need2h
info-daegu-go-kr-newshome,한국완료,490,580,lowerbound_need2h
incheon-go-kr-ic010205,한국완료,1328,574,lowerbound_need2h
state-gwd-go-kr-portal,한국완료,614,570,lowerbound_need2h
kipo-go-kr-ko,한국완료,500,561,lowerbound_need2h
irb-usi-ch-publications,Switzerland Research Centers,558,560,lowerbound_need2h
afp-gov-au-news-centre,호주완료,432,550,lowerbound_need2h
jeju-go-kr-news,한국완료,1087,548,lowerbound_need2h
repository-library-noaa-gov-view,American Research Institutes,812,548,lowerbound_need2h
ntp-niehs-nih-gov-publications,American Research Institutes,536,532,lowerbound_need2h
ruomoplus-lib-uom-gr-simple-search,Greece Research Centers,500,514,lowerbound_need2h
gwangju-go-kr-boardlistdo,한국완료,500,503,lowerbound_need2h
moj-go-kr-moj,한국완료,793,503,lowerbound_need2h
nisra-gov-uk-publications,영국완료,522,502,lowerbound_need2h
pubshop-bmbwf-gv-at-indexphp,오스트리아완료,479,499,lowerbound_need2h
opm-go-kr-opm,한국완료,660,489,lowerbound_need2h
fss-or-kr-fss,한국완료,500,479,lowerbound_need2h
drc-gov-cn-leafaspx,중국 완료,555,476,lowerbound_need2h
kisdi-re-kr-bbs,한국완료,502,466,lowerbound_need2h
keei-re-kr-boardes,한국완료,452,466,lowerbound_need2h
mafra-go-kr-home,한국완료,761,460,lowerbound_need2h
gi-re-kr-home,한국완료,452,432,lowerbound_need2h
defensa-gob-es-gabinete,Spain Ministries,421,431,lowerbound_need2h
molit-go-kr-usr,한국완료,390,430,lowerbound_need2h
ii-re-kr-base,한국완료,287,422,lowerbound_need2h
amolf-nl-publications,Dutch Research Centers,512,422,lowerbound_need2h
swisstph-ch-en,Switzerland Research Centers,1087,417,lowerbound_need2h
ecologie-gouv-fr-presse,France Ministries,4049,411,lowerbound_need2h
fibl-org-en,Switzerland Research Centers,539,393,lowerbound_need2h
sastind-gov-cn-n10086200,중국 완료,474,372,lowerbound_need2h
kcg-go-kr-kcg,한국완료,624,370,lowerbound_need2h
nivel-nl-en,Dutch Research Centers,520,370,lowerbound_need2h
mof-go-kr-doc,한국완료,624,366,lowerbound_need2h
sib-swiss-community,Switzerland Research Centers,391,359,lowerbound_need2h
opengov-seoul-go-kr-research,한국완료,344,357,lowerbound_need2h
nin-nl-publications,Dutch Research Centers,471,357,lowerbound_need2h
kedi-re-kr-khome,한국완료,519,355,lowerbound_need2h
mogef-go-kr-nw,한국완료,852,355,lowerbound_need2h
gyeongnam-go-kr-board,한국완료,190,349,lowerbound_need2h
nist-gov-publications,American Research Institutes,478,347,lowerbound_need2h
netl-doe-gov-search-r-d-publicati,American Research Institutes,729,338,lowerbound_need2h
trm-dk-nyheder,덴마크완료,404,331,lowerbound_need2h
ypen-gov-gr-category,Greece Ministries,454,330,lowerbound_need2h
saemangeum-go-kr-sda,한국완료,428,321,lowerbound_need2h
cpb-nl-en,Dutch Research Centers,371,318,lowerbound_need2h
netl-doe-gov-fecm-external-r-and-,American Research Institutes,343,312,lowerbound_need2h
auswaertiges-amt-de-en,독일완료,526,311,lowerbound_need2h
babraham-ac-uk-news,영국완료,483,309,lowerbound_need2h
bfe-admin-ch-bfe,Switzerland Departments,1002,307,lowerbound_need2h
ots-at-pressemappe,오스트리아완료,500,303,lowerbound_need2h
biblio-naturalsciences-be-rbins-publications,벨기에완료,500,299,lowerbound_need2h
si-re-kr-bbs,한국완료,501,297,lowerbound_need2h
miteco-gob-es-es,Spain Ministries,379,293,lowerbound_need2h
samr-gov-cn-zw,중국 완료,315,283,lowerbound_need2h
esri-ie-publications,Irish Research Centers,531,276,lowerbound_need2h
toi-no-publications,Norway Research Centers,470,275,lowerbound_need2h
psi-ch-en,Switzerland Research Centers,405,273,lowerbound_need2h
fmn-dk-da,덴마크완료,848,272,lowerbound_need2h
mivau-gob-es-el-ministerio,Spain Ministries,473,270,lowerbound_need2h
forest-go-kr-kfsweb,한국완료,931,269,lowerbound_need2h
english-www-gov-cn-archive,중국 완료,506,269,lowerbound_need2h
em-lyon-com-en,French Public Universities,348,268,lowerbound_need2h
nimh-nih-gov-news,American Research Institutes,492,261,lowerbound_need2h
jeonnam-go-kr-m7116,한국완료,770,255,lowerbound_need2h
mintour-gov-gr-deltia-typoy,Greece Ministries,394,253,lowerbound_need2h
em-dk-aktuelt,덴마크완료,350,247,lowerbound_need2h
usgs-gov-news,American Research Institutes,1549,243,lowerbound_need2h
skm-dk-aktuelt,덴마크완료,457,241,lowerbound_need2h
portaldiplomatico-mne-gov-pt-en,Portugal Ministries,378,241,lowerbound_need2h
environment-govt-nz-publications,뉴질랜드완료,249,241,lowerbound_need2h
ifremer-fr-fr,French Research Institutes,286,240,lowerbound_need2h
polytechnique-edu-presse,French Public Universities,226,232,lowerbound_need2h
pbl-nl-en,Dutch Research Centers,649,231,lowerbound_need2h
justitsministeriet-dk-pressemeddelelse,덴마크완료,346,230,lowerbound_need2h
transportes-gob-es-el-ministerio,Spain Ministries,288,225,lowerbound_need2h
kei-re-kr-eliblistes,한국완료,364,224,lowerbound_need2h
cnic-es-en,Spanish Research Centers,419,221,lowerbound_need2h
sfi-ch-en,Switzerland Research Centers,288,211,lowerbound_need2h
dst-dk-da,덴마크완료,408,210,lowerbound_need2h
ejournals-epublishing-ekt-gr-indexphp,Greece Research Centers,474,209,lowerbound_need2h
gnewsonline-it-category,Italy Ministries,343,208,lowerbound_need2h
