site_id,sheet,site_url,collected,source_total,coverage_pct,method,status,note
accc-gov-au-about-us,호주완료,https://www.accc.gov.au/about-us/publications,502,836,60.0,html_count_regex,partial,https://www.accc.gov.au/about-us/publications
accc-gov-au-search,호주완료,https://www.accc.gov.au/search?query=pdf,454,,,unknown,unknown,
adaptcentre-ie-research,Irish Research Centers,https://www.adaptcentre.ie/research/publications/?searchwp_keyword&searchwp_author&searchwp_year,206,3402,6.1,wordpress_publications,partial,https://www.adaptcentre.ie/wp-json/wp/v2/publications
agriculture-gouv-fr-recherche-developpem,France Ministries,https://agriculture.gouv.fr/recherche-developpement-et-innovation,472,,,unknown,unknown,
ameslab-gov-news,American Research Institutes,https://www.ameslab.gov/news,394,,,unknown,unknown,
agri-ee-ministeerium-uudised,Estonia Ministries,https://www.agri.ee/ministeerium-uudised-kontakt/uuringud,122,,,unknown,unknown,
africamuseum-be-en,벨기에완료,https://www.africamuseum.be/en/research/news,52,,,unknown,unknown,
adruk-org-news-publications,영국완료,https://www.adruk.org/news-publications/annual-reports/,210,,,unknown,unknown,
acpr-banque-france-fr-fr,French Public Institutions,https://acpr.banque-france.fr/fr/communiques-de-presse,225,,,unknown,unknown,
alrc-gov-au-publications,호주완료,https://www.alrc.gov.au/publications/final-report/,116,,,unknown,unknown,
afd-fr-fr,French Public Institutions,https://www.afd.fr/fr/publications/liste?words=&type%5B170%5D=170,797,,,unknown,unknown,
amu-hal-science-search,French Public Universities,https://amu.hal.science/search/index/?q=%2A&rows=30&submitType_s=file&docType_s=REPORT+OR+OTHER,3048,237733,1.3,hal_solr,partial,https://api.archives-ouvertes.fr/search/amu/
amf-france-org-fr,French Public Institutions,https://www.amf-france.org/fr/actualites-publications/communiques/communiques-de-lamf,157,,,unknown,unknown,
amolf-nl-publications,Dutch Research Centers,https://amolf.nl/publications,512,,,unknown,unknown,
anr-hal-science-search,French Research Institutes,https://anr.hal.science/search/index/?q=%2A&rows=30&openAccess_bool=true&submitType_s=file&docType_s=THESE+OR+COMM+OR+ART+OR+MEM,363,253771,0.1,hal_solr,partial,https://api.archives-ouvertes.fr/search/anr/
academie-sciences-fr-espace-presse,French Public Institutions,https://www.academie-sciences.fr/espace-presse,68,,,unknown,unknown,
app-mps-gov-cn-gdnps,중국 완료,https://app.mps.gov.cn/gdnps/zc/index.jsp,501,,,unknown,unknown,
anses-fr-fr,French Research Institutes,https://www.anses.fr/fr/content/avis-et-rapports-de-lanses-sur-saisine,6091,,,unknown,unknown,
arcep-fr-actualites,French Public Institutions,https://www.arcep.fr/actualites/actualites-et-communiques/n-page/1.html?tx_news_pi1%5Bfilters%5D%5BtypeContent%5D=5&cHash=d411a099541ff08a38e6142c8162a5f6,34,,,unknown,unknown,
andra-fr-publications,French Research Institutes,https://www.andra.fr/publications?f%5B0%5D=facet_doc_cat%3A224,1,,,unknown,unknown,
arrow-tudublin-ie-creaart,Irish Research Centers,https://arrow.tudublin.ie/creaart/,229,,,unknown,unknown,
arcnl-nl-publications,Dutch Research Centers,https://arcnl.nl/publications/types/phdthesis,11,,,unknown,unknown,
arcom-fr-presse,French Public Institutions,https://www.arcom.fr/presse?field_type_de_presse_target_id%5B16%5D=16&field_date_de_decision_value_1=&field_date_de_decision_value=&sort_bef_combine=field_date_de_decision_value_ASC,290,307,94.5,html_count_regex,partial,https://www.arcom.fr/presse?field_type_de_presse_target_id%5B16%5D=16&field_date_de_decision_value_1=&field_date_de_decision_value=&sort_bef_combine=field_date_de_decision_value_ASC
ami-swiss-en,Switzerland Research Centers,https://www.ami.swiss/en/research/publications.html,558,,,unknown,unknown,
artsetmetiers-hal-science-search,French Public Universities,https://artsetmetiers.hal.science/search/index/?q=%2A&rows=30&submitType_s=file&docType_s=ART+OR+COMM+OR+THESE,86,,,unknown,unknown,
audencia-com-lecole,French Public Universities,https://www.audencia.com/lecole/newsroom/communiques-de-presse,246,,,unknown,unknown,
arn-se-om-arn,스웨덴 완료,https://www.arn.se/om-arn/vagledande-beslut/,80,,,unknown,unknown,
artsetmetiers-fr-fr,French Public Universities,https://artsetmetiers.fr/fr/communiques-de-presse,222,,,unknown,unknown,
afp-gov-au-search,호주완료,https://afp.gov.au/search?keys=pdf&content_type_id=All,49,,,unknown,unknown,
afp-gov-au-news-centre,호주완료,https://www.afp.gov.au/news-centre,432,,,unknown,unknown,
auri-re-kr-boardes,한국완료,https://www.auri.re.kr/board.es?mid=a10401030000&bid=0013,260,,,unknown,unknown,
auri-re-kr-publication,한국완료,https://www.auri.re.kr/publication/list.es?mid=a10312000000&publication_type=research,593,,,unknown,unknown,
avoindata-suomi-fi-data,핀란드완료,https://avoindata.suomi.fi/data/fi/dataset/?res_format=pdf,154,2555,6.0,ckan,partial,https://avoindata.suomi.fi/data/api/3/action/package_search
astro-oma-be-en,벨기에완료,https://www.astro.oma.be/en/information/publications/annual-reports/,22,,,unknown,unknown,
apra-gov-au-statistics,호주완료,https://www.apra.gov.au/statistics,75,75,100.0,html_count_regex,complete,https://www.apra.gov.au/statistics
astron-nl-about,Dutch Research Centers,https://www.astron.nl/about/annual-reports/,57,,,unknown,unknown,
babraham-ac-uk-news,영국완료,https://www.babraham.ac.uk/news/category/news,483,,,unknown,unknown,
ansto-gov-au-search,호주완료,https://www.ansto.gov.au/search?query=pdf,30,,,unknown,unknown,
bankofcanada-ca-publications,Canadian Research Centers,https://www.bankofcanada.ca/publications/canadian-survey-of-consumer-expectations/,27,,,unknown,unknown,
auswaertiges-amt-de-en,독일완료,https://www.auswaertiges-amt.de/en/newsroom/news/609204-609204,526,,,unknown,unknown,
auswaertiges-amt-de-de,Germany Ministries,https://www.auswaertiges-amt.de/de/newsroom/presse/newsroom-archiv,224,,,unknown,unknown,
asn-fr-information,French Public Institutions,https://www.asn.fr/information/publications/rapports-d-expertise,19,,,unknown,unknown,
baw-de-en,GER ResearchCenters(Unfinished),https://www.baw.de/en/publikationen/geschaeftsbericht/geschaeftsbericht.html,14,,,unknown,unknown,
archives-nationales-culture-gouv-fr-presse,French Public Institutions,https://www.archives-nationales.culture.gouv.fr/presse?title=&field_type_publication_target_id_1%5B32%5D=32&created%5Bvalue%5D=,15,,,unknown,unknown,
benthamscience-com-press-release,Switzerland Research Centers,https://www.benthamscience.com/press-release,191,,,unknown,unknown,
bfr-bund-de-en,GER ResearchCenters(Unfinished),https://www.bfr.bund.de/en/publications/annual-reports/,23,,,unknown,unknown,
biblio-naturalsciences-be-rbins-publications,벨기에완료,https://biblio.naturalsciences.be/rbins-publications/,500,,,unknown,unknown,
bm-dk-soeg,덴마크완료,https://bm.dk/soeg/?q=*&ContentTags=Publikation&sort-desc=ManualDate,88,,,unknown,unknown,
bfe-admin-ch-bfe,Switzerland Departments,https://www.bfe.admin.ch/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvc3VjaGU=.html?keywords=&q=&from=&to=&nr=,1002,,,unknown,unknown,
bjerknes-uib-no-en,Norway Research Centers,https://bjerknes.uib.no/en/publications,214,12,1783.3,html_count_regex,over,https://bjerknes.uib.no/en/publications
banque-france-fr-en,French Public Institutions,https://www.banque-france.fr/en/press-release,530,,,unknown,unknown,
bj-admin-ch-bj,Switzerland Departments,https://www.bj.admin.ch/bj/en/home/aktuell/mm.html?dyn_startDate=01.03.2016&dyn_endDate=01.04.2026,41,,,unknown,unknown,
