site_id,sheet,collected,counted,completed,elapsed_s,method,note
gob-mx-agricultura,Mexico Ministries,729,0,True,0,no_crawler,
gob-mx-bienestar,Mexico Ministries,729,0,True,0,no_crawler,
gob-mx-buengobierno,Mexico Ministries,771,0,True,0,no_crawler,
gob-mx-defensa,Mexico Ministries,756,0,True,0,no_crawler,
gob-mx-mujeres,Mexico Ministries,270,0,True,0,no_crawler,
gob-mx-salud,Mexico Ministries,765,0,True,0,no_crawler,
gob-mx-se,Mexico Ministries,762,0,True,0,no_crawler,
gob-mx-sectur,Mexico Ministries,765,0,True,0,no_crawler,
gob-mx-sedatu,Mexico Ministries,756,0,True,0,no_crawler,
gob-mx-segob,Mexico Ministries,747,0,True,0,no_crawler,
gob-mx-semar,Mexico Ministries,783,0,True,0,no_crawler,
gob-mx-semarnat,Mexico Ministries,774,0,True,0,no_crawler,
gob-mx-sep,Mexico Ministries,774,0,True,0,no_crawler,
gob-mx-shcp,Mexico Ministries,762,0,True,0,no_crawler,
gob-mx-sict,Mexico Ministries,747,0,True,0,no_crawler,
gob-mx-sre,Mexico Ministries,774,0,True,0,no_crawler,
gob-mx-sspc,Mexico Ministries,773,0,True,0,no_crawler,
gob-mx-stps,Mexico Ministries,748,0,True,0,no_crawler,
afp-gov-au-search,호주완료,49,1,True,12.5,count_crawl,
alrc-gov-au-publications,호주완료,116,40,True,45.8,count_crawl,
africamuseum-be-en,벨기에완료,52,52,True,188.2,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000
afd-fr-fr,French Public Institutions,797,42,True,219.1,count_crawl,
adruk-org-news-publications,영국완료,210,106,True,273.8,count_crawl,
andra-fr-publications,French Research Institutes,1,0,True,22.1,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000
ameslab-gov-news,American Research Institutes,394,396,True,324.5,count_crawl,caps_neutralized:_SAFETY_CAP=200->10000000
accc-gov-au-search,호주완료,454,152,False,360.1,count_crawl,external_timeout_kill:lower_bound
acpr-banque-france-fr-fr,French Public Institutions,225,103,False,360.1,count_crawl,external_timeout_kill:lower_bound
afp-gov-au-news-centre,호주완료,432,275,False,360.1,count_crawl,external_timeout_kill:lower_bound
agri-ee-ministeerium-uudised,Estonia Ministries,122,4,False,360.1,count_crawl,external_timeout_kill:lower_bound
agriculture-gouv-fr-recherche-developpem,France Ministries,472,53,False,360.1,count_crawl,external_timeout_kill:lower_bound
arn-se-om-arn,스웨덴 완료,80,12,True,1.9,count_crawl,
arcep-fr-actualites,French Public Institutions,34,0,True,3.8,count_crawl,
artsetmetiers-hal-science-search,French Public Universities,86,68,True,8.3,count_crawl,
ansto-gov-au-search,호주완료,30,27,True,45.0,count_crawl,
arcnl-nl-publications,Dutch Research Centers,11,11,True,36.0,count_crawl,
astron-nl-about,Dutch Research Centers,57,0,True,1.0,count_crawl,
amf-france-org-fr,French Public Institutions,157,20,False,360.1,count_crawl,external_timeout_kill:lower_bound
asiapacific-ca-media,Canadian Research Centers,50,52,True,71.4,count_crawl,
artsetmetiers-fr-fr,French Public Universities,222,223,True,112.8,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000
ami-swiss-en,Switzerland Research Centers,558,100,False,360.1,count_crawl,external_timeout_kill:lower_bound
astro-oma-be-en,벨기에완료,22,0,True,189.3,count_crawl,caps_neutralized:MAX_PAGES=200->10000000
amolf-nl-publications,Dutch Research Centers,512,178,False,360.1,count_crawl,external_timeout_kill:lower_bound
bam-de-navigation,GER ResearchCenters(Unfinished),308,0,True,4.8,count_crawl,caps_neutralized:_PAGE_CAP=200->10000000;_MAX_SECONDS=1500->10000000
asn-fr-information,French Public Institutions,19,19,True,220.3,count_crawl,
bankofcanada-ca-publications,Canadian Research Centers,27,27,True,37.1,count_crawl,
baw-de-en,GER ResearchCenters(Unfinished),14,0,True,1.2,count_crawl,
anses-fr-fr,French Research Institutes,6091,0,False,360.1,count_crawl,external_timeout_kill:lower_bound
auri-re-kr-boardes,한국완료,260,267,True,265.8,count_crawl,
banque-france-fr-en,French Public Institutions,530,30,True,111.6,count_crawl,caps_neutralized:MAX_PAGES=200->10000000
app-mps-gov-cn-gdnps,중국 완료,501,320,False,360.1,count_crawl,external_timeout_kill:lower_bound
audencia-com-lecole,French Public Universities,246,243,True,344.4,count_crawl,caps_neutralized:MAX_PAGES=200->10000000
biorbic-com-publications,Irish Research Centers,497,467,True,6.5,count_crawl,
bj-admin-ch-bj,Switzerland Departments,41,0,True,43.8,count_crawl,
auri-re-kr-publication,한국완료,593,171,False,360.1,count_crawl,external_timeout_kill:lower_bound
auswaertiges-amt-de-de,Germany Ministries,224,147,False,360.1,count_crawl,external_timeout_kill:lower_bound
auswaertiges-amt-de-en,독일완료,526,173,False,360.1,count_crawl,external_timeout_kill:lower_bound
benthamscience-com-press-release,Switzerland Research Centers,191,193,True,272.3,count_crawl,
babraham-ac-uk-news,영국완료,483,168,False,360.1,count_crawl,external_timeout_kill:lower_bound
bmi-gv-at-114,오스트리아완료,76,42,True,23.3,count_crawl,
bdap-opendata-rgs-mef-gov-it-catalog,Italy Ministries,360,85,False,360.1,count_crawl,external_timeout_kill:lower_bound
bfe-admin-ch-bfe,Switzerland Departments,1002,56,False,360.1,count_crawl,external_timeout_kill:lower_bound
bfr-bund-de-en,GER ResearchCenters(Unfinished),23,0,False,360.1,count_crawl,external_timeout_kill:lower_bound
