site_id,sheet,collected,counted,completed,elapsed_s,method,note
agriculture-gouv-fr-recherche-developpem,France Ministries,472,134,True,266.0,count_crawl,
agri-ee-ministeerium-uudised,Estonia Ministries,122,8,True,513.9,count_crawl,caps_neutralized:MAX_PAGES=200->10000000
auswaertiges-amt-de-de,Germany Ministries,224,226,True,533.0,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000
acpr-banque-france-fr-fr,French Public Institutions,225,233,True,661.5,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000
auri-re-kr-publication,한국완료,593,559,True,1107.7,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000;_MAX_WALL=1500->10000000
bfr-bund-de-en,GER ResearchCenters(Unfinished),23,1,True,268.2,count_crawl,
babraham-ac-uk-news,영국완료,483,483,True,913.8,count_crawl,
amolf-nl-publications,Dutch Research Centers,512,811,True,1470.1,count_crawl,
accc-gov-au-search,호주완료,454,513,True,1502.8,count_crawl,
afp-gov-au-news-centre,호주완료,432,1336,True,1506.4,count_crawl,caps_neutralized:_SAFETY_CAP=200->10000000
app-mps-gov-cn-gdnps,중국 완료,501,1933,True,1507.6,count_crawl,
amf-france-org-fr,French Public Institutions,157,201,True,1509.6,count_crawl,caps_neutralized:MAX_PAGES=200->10000000
bm-dk-soeg,덴마크완료,88,88,True,164.4,count_crawl,
ami-swiss-en,Switzerland Research Centers,558,583,True,1760.8,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000;_MAX_WALL=1500->10000000
auswaertiges-amt-de-en,독일완료,526,782,True,1517.9,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000
bmz-de-de,Germany Ministries,6,6,True,388.0,count_crawl,
bmj-gv-at-ministerium,오스트리아완료,149,151,True,402.8,count_crawl,
bmleh-de-siteglobals,독일완료,200,233,True,467.6,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000;_MAX_WALL=1500->10000000
bmas-de-de,Germany Ministries,454,330,True,590.8,count_crawl,
bmftr-bund-de-siteglobals,독일완료,197,179,True,745.9,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000
book-ioj-go-kr-library,한국완료,500,998,True,567.0,count_crawl,
bundeskanzleramt-gv-at-bundeskanzleramt,오스트리아완료,480,447,True,850.0,count_crawl,
brgm-fr-fr,French Research Institutes,234,241,True,1058.7,count_crawl,caps_neutralized:MAX_PAGES=200->10000000
caissedesdepots-fr-communiques-de-press,French Public Institutions,1201,1000,True,666.1,count_crawl,
brsn-net-list,중국 완료,500,999,True,1036.2,count_crawl,caps_neutralized:_MAX_PAGES=200->10000000
